afr,-32,22
ara,28,36
arg,42.7,-0.3
ast,43,-6
ava,42.5,46.5
bos,44,18
bre,48.3,-3.4
bul,43,35
cat,41,0.5
chv,56,47.5
cym,52.5,-4
dan,55.5,11.5
ell,39,22
eng,53,-1
eus,43.3,-2.5
fin,62,25
fra,47,2.5
glg,42.7,-8
hbs,45.5,19
hin,28,78
hrv,46,16
ind,-5,119
isl,64,-19
ita,42.5,13
kaa,53,49
kaz,48.9,73.2
kir,42,75
kmr,37.5,42.5
kum,42.7,47.5
mkd,41.5,22
mlt,35.9,14.4
nld,52,5.5
nno,61,7
nob,60,11
oci,44,2
por,40,-8.5
ron,46,25
rus,57,39
slv,49,19
sme,69,23
spa,41,-3
srp,44,21
swe,59,15
tat,56,60
tkm,38,60
tur,40,31
tyv,52,94
ukr,50,30
urd,25,68
uzb,40,67
zlm,-4,105
